gameid,cid,cdate
747,-1,2020-08-23 14:00
745,-1,2020-08-22 21:40:00
746,-1,2020-08-22 19:00
743,1401,2020-08-21 22:35:00
742,-1,2020-08-20 08:00
740,-1,2020-08-19 08:00
741,-1,2020-08-19 08:00
738,-1,2020-08-18 19:00
737,-1,2020-08-18 08:00
739,-1,2020-08-18 08:00
736,1392,2020-08-16 22:35:00
734,-1,2020-08-15 21:40:00
735,-1,2020-08-15 21:00
733,1398,2020-08-14 22:35:00
732,-1,2020-08-14 19:00
730,-1,2020-08-13 21:00
731,-1,2020-08-13 21:00
728,-1,2020-08-13 08:00
729,-1,2020-08-13 08:00
727,1395,2020-08-12 22:35:00
725,-1,2020-08-12 08:00
726,-1,2020-08-12 08:00
724,-1,2020-08-11 19:00
721,-1,2020-08-11 08:00
722,-1,2020-08-11 08:00
704,-1,2020-08-10 12:00
703,-1,2020-08-10 08:00
718,-1,2020-08-10 08:00
702,1391,2020-08-09 22:35:00
744,-1,2020-08-09 22:20:00
719,-1,2020-08-09 13:00
705,-1,2020-08-08 21:00
715,-1,2020-08-08 21:00
706,-1,2020-08-08 12:00
720,-1,2020-08-08 08:30
701,1393,2020-08-07 22:35:00
708,-1,2020-08-06 21:00
723,-1,2020-08-06 21:00
716,-1,2020-08-06 08:00
717,-1,2020-08-06 08:00
700,1399,2020-08-05 22:35:00
711,-1,2020-08-05 13:00
707,-1,2020-08-05 08:00
709,-1,2020-08-05 08:00
710,-1,2020-08-05 08:00
714,-1,2020-08-04 19:00
712,-1,2020-08-04 08:00
713,-1,2020-08-04 08:00
673,-1,2020-08-03 12:00
668,-1,2020-08-03 08:00
669,-1,2020-08-03 08:00
667,-1,2020-08-02 21:40:00
670,-1,2020-08-01 21:00
672,-1,2020-08-01 21:00
671,-1,2020-08-01 12:00
666,-1,2020-07-31 14:00
663,1388,2020-07-30 22:35:00
664,-1,2020-07-30 21:00
665,-1,2020-07-30 21:00
662,1389,2020-07-29 22:35:00
661,-1,2020-07-29 19:00
660,-1,2020-07-29 08:00
659,-1,2020-07-28 19:00
658,-1,2020-07-27 12:00
653,-1,2020-07-25 21:40:00
654,-1,2020-07-25 21:00
657,-1,2020-07-25 21:00
655,-1,2020-07-25 12:00
656,-1,2020-07-25 08:30
651,1383,2020-07-24 22:35:00
652,1384,2020-07-24 22:35:00
648,-1,2020-07-23 21:00
649,-1,2020-07-23 21:00
647,-1,2020-07-22 19:00
646,-1,2020-07-22 08:00
644,1381,2020-07-21 22:35:00
645,1382,2020-07-21 22:35:00
643,-1,2020-07-21 19:00
642,-1,2020-07-20 12:00
641,1379,2020-07-19 17:00:00
636,-1,2020-07-18 21:00
638,-1,2020-07-18 21:00
698,10439,2020-07-18 17:00:00
696,10822,2020-07-18 16:30:00
697,10823,2020-07-18 16:30:00
695,10821,2020-07-18 15:00:00
639,-1,2020-07-18 13:00
637,-1,2020-07-18 12:00
635,1385,2020-07-17 22:35:00
634,-1,2020-07-16 21:00
633,-1,2020-07-15 19:00
632,-1,2020-07-15 08:00
631,-1,2020-07-14 19:00
610,-1,2020-07-13 12:00
611,-1,2020-07-12 12:00
608,-1,2020-07-11 21:40:00
609,-1,2020-07-11 21:00
612,-1,2020-07-11 21:00
607,-1,2020-07-09 21:00
606,-1,2020-07-08 19:00
605,-1,2020-07-07 19:00
604,-1,2020-07-05 21:40:00
603,1375,2020-07-04 22:45:00
602,1371,2020-07-01 21:35:00
601,-1,2020-07-01 19:30
600,-1,2020-06-30 19:00
599,-1,2020-06-29 19:00
598,1374,2020-06-28 22:35:00
597,-1,2020-06-27 21:40:00
596,1373,2020-06-25 22:35:00
595,-1,2020-06-24 19:00
594,1369,2020-06-23 22:05:00
593,1370,2020-06-20 22:35:00
592,-1,2020-06-20 13:00
591,1368,2020-06-18 22:45:00
590,-1,2020-06-17 19:00
589,1367,2020-06-16 22:35:00
588,-1,2020-06-16 19:00
587,-1,2020-06-14 21:40:00
586,-1,2020-06-14 14:00
584,-1,2020-06-14 13:00
585,-1,2020-06-14 12:00
583,-1,2020-06-13 22:00:00
582,-1,2020-06-13 13:00
581,1366,2020-06-11 22:35:00
580,-1,2020-06-11 19:00
579,-1,2020-06-10 19:00
578,-1,2020-06-09 19:00
577,1365,2020-06-07 22:35:00
576,-1,2020-06-07 13:00
575,-1,2020-06-06 13:30
574,-1,2020-06-05 18:00
573,1362,2020-06-04 22:35:00
572,-1,2020-06-03 19:00
571,-1,2020-06-03 13:00
570,-1,2020-06-02 19:00
569,1363,2020-05-31 22:35:00
568,-1,2020-05-31 21:40:00
691,8942,2020-05-31 17:00:00
567,-1,2020-05-31 13:00
566,-1,2020-05-30 22:00:00
564,-1,2020-05-30 13:00
565,-1,2020-05-30 13:00
563,-1,2020-05-30 08:00
562,-1,2020-05-29 19:00
561,1359,2020-05-28 22:35:00
560,1358,2020-05-26 22:35:00
559,-1,2020-05-26 19:00
558,-1,2020-05-25 19:00
557,1360,2020-05-24 21:35:00
699,9032,2020-05-24 17:00:00
556,-1,2020-05-24 13:00
555,-1,2020-05-23 22:30:00
693,9294,2020-05-23 16:30:00
692,9293,2020-05-23 15:00:00
554,-1,2020-05-23 14:00
553,-1,2020-05-22 19:00
552,-1,2020-05-19 19:00
547,-1,2020-05-17 21:40:00
548,-1,2020-05-17 19:00
551,1354,2020-05-17 17:20:00
546,-1,2020-05-17 13:00
550,1355,2020-05-16 19:35:00
694,8944,2020-05-16 17:00:00
542,-1,2020-05-16 08:00
543,-1,2020-05-15 19:00
541,1353,2020-05-14 22:35:00
540,1350,2020-05-12 20:35:00
538,-1,2020-05-12 19:00
536,-1,2020-05-10 21:40:00
535,-1,2020-05-10 13:00
534,1352,2020-05-09 22:35:00
533,9343,2020-05-09 17:00:00
532,-1,2020-05-08 19:00
531,-1,2020-05-05 19:00
529,8291,2020-05-04 17:00:00
528,-1,2020-05-03 21:40:00
527,-1,2020-05-03 14:00
530,-1,2020-05-03 08:00
526,-1,2020-05-02 21:50:00
524,-1,2020-05-02 09:00
523,1348,2020-05-01 22:35:00
525,-1,2020-05-01 18:00
520,8290,2020-05-01 17:00:00
519,8976,2020-04-29 22:00:00
518,-1,2020-04-28 19:00
517,1342,2020-04-26 22:35:00
516,-1,2020-04-26 21:40:00
514,7198,2020-04-25 17:00:00
513,-1,2020-04-25 08:00
512,1341,2020-04-23 22:45:00
509,8630,2020-04-22 22:00:00
511,1343,2020-04-21 22:35:00
507,-1,2020-04-21 19:00
506,-1,2020-04-19 21:40:00
504,7197,2020-04-19 17:00:00
505,-1,2020-04-19 14:00
503,-1,2020-04-18 19:00
501,-1,2020-04-18 12:00
510,1337,2020-04-15 22:35:00
499,8546,2020-04-15 22:00:00
502,-1,2020-04-14 19:00
498,1335,2020-04-13 22:35:00
496,1338,2020-04-12 22:05:00
497,1339,2020-04-12 22:05:00
495,-1,2020-04-12 21:40:00
494,7196,2020-04-12 17:00:00
493,1334,2020-04-10 22:35:00
492,-1,2020-04-10 19:00
491,1333,2020-04-08 22:35:00
490,8289,2020-04-08 22:00:00
489,7195,2020-04-06 17:00:00
488,-1,2020-04-04 21:40:00
487,1330,2020-04-03 22:35:00
485,8288,2020-04-01 22:00:00
486,-1,2020-04-01 19:00
484,1332,2020-03-31 21:35:00
483,-1,2020-03-28 21:40:00
481,7194,2020-03-28 17:00:00
482,-1,2020-03-28 08:00
480,-1,2020-03-27 19:00
479,1328,2020-03-26 22:35:00
478,7788,2020-03-25 22:00:00
477,1327,2020-03-23 22:35:00
476,-1,2020-03-22 21:40:00
475,-1,2020-03-22 13:00
473,-1,2020-03-21 22:30:00
474,-1,2020-03-21 19:00
472,7191,2020-03-21 17:00:00
471,-1,2020-03-20 19:00
470,1326,2020-03-19 22:35:00
