学号,编程年份,国家级一等奖,国家级二等奖,国家级三等奖,国家级优秀奖,省部级一等奖,省部级二等奖,省部级三等奖,省部级优秀奖,OJ提交数,OJ正确数,OJ准确率,cfRating,cfTimes,all_cf_aftersolve,correct_cf_aftersolve,获奖类别
2013014153,0,0,0,0,0,0,0,0,0,355,205,0.5774647887323944,0,0,0,0,9
2012014390,0,0,0,0,0,0,0,0,0,471,226,0.4798301486199576,0,0,0,0,9
2015017001,0,0,0,0,0,0,0,0,0,372,230,0.6182795698924731,0,0,0,0,9
2018040528,0,0,0,0,0,0,0,0,0,112,52,0.4642857142857143,0,0,0,0,9
2013014127,0,0,0,0,0,0,0,0,0,437,189,0.43249427917620137,0,0,0,0,9
2012014374,0,0,0,0,0,0,0,0,0,364,198,0.5439560439560439,0,0,0,0,9
2018040513,2,0,0,0,0,0,0,0,0,83,41,0.4939759036144578,1281,7,0,0,9
2019040462,0,0,0,0,0,0,0,0,0,2,2,1.0,1065,4,0,0,9
2016014420,0,0,0,0,0,0,0,0,0,42,15,0.35714285714285715,0,0,0,0,9
2013014186,0,0,0,0,0,0,0,0,0,392,167,0.4260204081632653,0,0,0,0,9
2013014144,0,0,0,0,0,0,0,0,0,307,163,0.5309446254071661,0,0,0,0,9
2018040391,0,0,0,0,0,0,0,0,0,74,30,0.40540540540540543,0,0,0,0,9
